qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
077-3441214,"החי""ל 2, חיפה",משרד הבריאות,טיפות חלב 🔴
077-3378842,"המעלה 35, פרדס חנה-כרכור",משרד הבריאות,טיפות חלב 🔴
077-3361967,"הכרמל 10, אור עקיבא",משרד הבריאות,טיפות חלב 🔴
077-3245139,"מרגלית 1, חיפה",משרד הבריאות,טיפות חלב 🔴
077-3238322,"הירדן 19, חיפה",משרד הבריאות,טיפות חלב 🔴
077-3224721,"מימון הרב 31, חיפה",משרד הבריאות,טיפות חלב 🔴
077-2101152,"בית אליעזר, חדרה",משרד הבריאות,טיפות חלב 🔴
077-2031350,"קרע, כפר קרע",משרד הבריאות,טיפות חלב 🔴
077-2031327,"נוה חיים, חדרה",משרד הבריאות,טיפות חלב 🔴
076-8887341,"מנחם פרוש  1, בית שמש",מזרחי,בנקים 🔵
076-8887330,"שד' גושן  25, קריית מוצקין",מזרחי,בנקים 🔵
076-8887320,"שטמפפר  17, נתניה",מזרחי,בנקים 🔵
076-8887310,"אחוזה  153, רעננה",מזרחי,בנקים 🔵
076-8887300,"סוקולוב  46, הוד השרון",מזרחי,בנקים 🔵
076-8887290,"שמגר  10, ירושלים",מזרחי,בנקים 🔵
076-8887280,"העמל  1, ראש העין",מזרחי,בנקים 🔵
076-8887270,"אהרון בקר  8, תל אביב -יפו",מזרחי,בנקים 🔵
076-8887260,"שמאי  1, אלעד",מזרחי,בנקים 🔵
076-8887230,"אלנבי  105, תל אביב -יפו",מזרחי,בנקים 🔵
076-8887228,"שד' יחזקאל  2, מודיעין עילית",מזרחי,בנקים 🔵
076-8676799,"המשביר  1, חולון",לאומי,בנקים 🔵
076-8134180,"הוד השרון, סוקולוב 46",מאוחדת,מרפאות 🟠
076-8096001,"הנגב  2, לוד",ירושלים,בנקים 🔵
076-8095098,"סחנין מול  0, סח'נין",ירושלים,בנקים 🔵
076-8095096,"מעלה כמון  5, כרמיאל",ירושלים,בנקים 🔵
076-8095076,"יהודה הנשיא  94, אלעד",ירושלים,בנקים 🔵
076-8095069,"הדסה  90, באר שבע",ירושלים,בנקים 🔵
076-8095061,"שדרות ירושלים  12, חצור-אשדוד",ירושלים,בנקים 🔵
076-8095055,"ז'בוטינסקי  9, בני ברק",ירושלים,בנקים 🔵
076-8095052,"נתנזון  26, חיפה",ירושלים,בנקים 🔵
076-8095051,"אחד העם  21, תל אביב -יפו",ירושלים,בנקים 🔵
076-8095041,"ישמח ישראל  1, ביתר עילית",ירושלים,בנקים 🔵
076-8095040,"יצחק רבין  2, בית שמש",ירושלים,בנקים 🔵
076-8095030,"אגרון  30, ירושלים",ירושלים,בנקים 🔵
076-8095026,"שמגר  21, ירושלים",ירושלים,בנקים 🔵
076-8095001,"הנגב  2, לוד",ירושלים,בנקים 🔵
076-8075600,"ראשי  0, אעבלין",מרכנתיל,בנקים 🔵
076-8075300,"ראשי חורפיש  0, חורפיש",מרכנתיל,בנקים 🔵
076-8075200,"ראשי  0, זרזיר",מרכנתיל,בנקים 🔵
076-8074300,"דיר אל אסד  0, דייר אל-אסד",מרכנתיל,בנקים 🔵
076-8074200,"שד' גולדה מאיר  255, ירושלים",מרכנתיל,בנקים 🔵
076-8073800,"כאבול  0, כאבול",מרכנתיל,בנקים 🔵
076-8073600,"גבעת משה  5, ירושלים",מרכנתיל,בנקים 🔵
076-8073400,"הר""ן  20, ביתר עילית",מרכנתיל,בנקים 🔵
076-8073100,"האמוראים  30, בית שמש",מרכנתיל,בנקים 🔵
076-8072400,"בועיינה-נוג'ידאת  0, בועיינה-נוג'ידאת",מרכנתיל,בנקים 🔵
076-8072000,"הארבעה  19, תל אביב -יפו",מרכנתיל,בנקים 🔵
076-8069700,"מרכז מסחרי אום אל פחם  0, אום אל-פחם",מרכנתיל,בנקים 🔵
076-8069600,"מרכז מסחרי  0, רהט",מרכנתיל,בנקים 🔵
076-8069500,"הבזלת  2, כפר תבור",מרכנתיל,בנקים 🔵
076-8069400,"אלנבי  36, חיפה",מרכנתיל,בנקים 🔵
076-8069200,"השוק  2, מעלות-תרשיחא",מרכנתיל,בנקים 🔵
076-8069100,"מרכז מסחרי חדש  0, כפר יאסיף",מרכנתיל,בנקים 🔵
076-8068700,"סכנין  0, סח'נין",מרכנתיל,בנקים 🔵
076-8068100,"ג'דידה  0, ג'דיידה-מכר",מרכנתיל,בנקים 🔵
076-8067600,"שבי ציון  3, אשדוד",מרכנתיל,בנקים 🔵
076-8067400,"הרצל  189, רחובות",מרכנתיל,בנקים 🔵
076-8067100,"אכסאל  0, אכסאל",מרכנתיל,בנקים 🔵
076-8066800,"רוטשילד  115, ראשון לציון",מרכנתיל,בנקים 🔵
076-8066100,"כנפי נשרים  24, ירושלים",מרכנתיל,בנקים 🔵
076-8066000,"שד' הגעתון  38, נהרייה",מרכנתיל,בנקים 🔵
076-8064900,"המרכז המסחרי הישן  3, דימונה",מרכנתיל,בנקים 🔵
076-8064700,"שמואל הציב  20, נתניה",מרכנתיל,בנקים 🔵
076-8064500,"רגר יצחק  59, באר שבע",מרכנתיל,בנקים 🔵
076-8064400,"החרושת  2, עכו",מרכנתיל,בנקים 🔵
076-8064300,"רחוב ראשי  1, ראמה",מרכנתיל,בנקים 🔵
076-8064000,"דרך חיפה  0, נצרת",מרכנתיל,בנקים 🔵
076-8063900,"הגליל  30, נצרת",מרכנתיל,בנקים 🔵
076-8063400,"רחוב ראשי  0, עיילבון",מרכנתיל,בנקים 🔵
076-8063200,"כפר טורעאן  0, טורעאן",מרכנתיל,בנקים 🔵
076-8063100,"כפר כנא  0, כפר כנא",מרכנתיל,בנקים 🔵
076-8063000,"ריינה  0, ריינה",מרכנתיל,בנקים 🔵
076-8062800,"יאפת אל נאסרה  0, יפיע",מרכנתיל,בנקים 🔵
076-8062700,"פאולוס השישי  83, נצרת",מרכנתיל,בנקים 🔵
076-8062600,"עראבה  0, עראבה",מרכנתיל,בנקים 🔵
076-8062500,"מעיליא  0, מעיליא",מרכנתיל,בנקים 🔵
076-8062300,"דבוריה  0, דבורייה",מרכנתיל,בנקים 🔵
076-8062000,"ארחי בישוף חג'אר  0, שפרעם",מרכנתיל,בנקים 🔵
076-8061400,"רחוב ראשי  0, טמרה",מרכנתיל,בנקים 🔵
076-8060300,"שד' המייסדים  2, מיתר",מרכנתיל,בנקים 🔵
076-8060200,"דאהר סנטר ירכא  0, ירכא",מרכנתיל,בנקים 🔵
076-8053960,"ה' באייר  66, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053900,"יהודה הלוי  38, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053866,"דיזנגוף  55, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053807,"הגליל  52, טבריה",דיסקונט,בנקים 🔵
076-8053740,"שדרות רוטשילד  76, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053710,"שד' התמרים  1, אילת",דיסקונט,בנקים 🔵
076-8053678,"אבא הלל סילבר  12, רמת גן",דיסקונט,בנקים 🔵
076-8053640,"רמת אביב ג'  25, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053548,"יהודה הנשיא  34, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053526,"דרך משה דיין  64, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053494,"יגאל אלון  96, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053460,"שד' ירושלים  15, תל אביב -יפו",דיסקונט,בנקים 🔵
076-8053183,"הגפן  3, קריית גת",דיסקונט,בנקים 🔵
076-8053180,"דוד בן גוריון  1, כפר יונה",דיסקונט,בנקים 🔵
076-8053144,"הנריאטה סולד  8, באר שבע",דיסקונט,בנקים 🔵
076-8053120,"שד' יצחק רבין  10, ירושלים",דיסקונט,בנקים 🔵
076-8053100,"פארן  9, ירושלים",דיסקונט,בנקים 🔵
076-8053060,"שדרות בן גוריון  15, אשלים",דיסקונט,בנקים 🔵
076-8053040,"שאול המלך  80, באר שבע",דיסקונט,בנקים 🔵
076-8053040,"שד' דוד טוביהו  125, באר שבע",דיסקונט,בנקים 🔵
076-8053017,"יפו  103, ירושלים",דיסקונט,בנקים 🔵
076-8053017,"רח' יפו  121, ירושלים",דיסקונט,בנקים 🔵
076-8052973,"יגאל אלון  3, בית שמש",דיסקונט,בנקים 🔵
076-8052920,"הראל  1, מבשרת ציון",דיסקונט,בנקים 🔵
076-8052895,"בורוכוב  74, ירושלים",דיסקונט,בנקים 🔵
076-8052872,"בית הכרם  29, ירושלים",דיסקונט,בנקים 🔵
076-8052792,"דרך קדם  5, ירושלים",דיסקונט,בנקים 🔵
076-8052760,"שד' יגאל אלון  1, דימונה",דיסקונט,בנקים 🔵
076-8052520,"הנביאים  18, חיפה",דיסקונט,בנקים 🔵
076-8052508,"דרך חיפה  30, קריית אתא",דיסקונט,בנקים 🔵
076-8052481,"הדגן  2, זכרון יעקב",דיסקונט,בנקים 🔵
076-8052410,"מעלה כמון  5, כרמיאל",דיסקונט,בנקים 🔵
076-8052398,"דרך העצמאות  1, מגדל העמק",דיסקונט,בנקים 🔵
076-8052370,"אינשטיין  139, חיפה",דיסקונט,בנקים 🔵
076-8052310,"שדרות הגעתון  29, נהרייה",דיסקונט,בנקים 🔵
076-8052260,"בילאל  45, נצרת",דיסקונט,בנקים 🔵
076-8052231,"דרך  אריאל שרון41  41, נוף הגליל",דיסקונט,בנקים 🔵
076-8052200,"בן עמי  67, עכו",דיסקונט,בנקים 🔵
076-8052170,"דרך מנחם בגין  72, עפולה",דיסקונט,בנקים 🔵
076-8052153,"העליה ב'  4, צפת",דיסקונט,בנקים 🔵
076-8052140,"העצמאות  61, קריית אתא",דיסקונט,בנקים 🔵
076-8052090,"דרך עכו  194, קריית ביאליק",דיסקונט,בנקים 🔵
076-8052047,"דקר  1, קריית מוצקין",דיסקונט,בנקים 🔵
076-8052020,"טשרנחובסקי  4, קריית שמונה",דיסקונט,בנקים 🔵
076-8051820,"העצמאות  65, פתח תקווה",דיסקונט,בנקים 🔵
076-8051780,"אחוזה  128, רעננה",דיסקונט,בנקים 🔵
076-8051720,"ויצמן  19, גבעתיים",דיסקונט,בנקים 🔵
076-8051688,"סוקולוב  46, רמת השרון",דיסקונט,בנקים 🔵
076-8051650,"רבי עקיבא  60, בני ברק",דיסקונט,בנקים 🔵
076-8051620,"סוקולוב  22, הרצלייה",דיסקונט,בנקים 🔵
076-8051555,"סלור  22, פתח תקווה",דיסקונט,בנקים 🔵
076-8051534,"הרברט סמואל  68, חדרה",דיסקונט,בנקים 🔵
076-8051510,"סמילנסקי  6, נתניה",דיסקונט,בנקים 🔵
076-8051450,"גיבורי ישראל  13, נתניה",דיסקונט,בנקים 🔵
076-8051410,"דרך בן גוריון  13, בני ברק",דיסקונט,בנקים 🔵
076-8051390,"טום לנטוס  26, נתניה",דיסקונט,בנקים 🔵
076-8051380,"פל ים  9, חיפה",דיסקונט,בנקים 🔵
076-8051355,"חיה פיינשטיין  11, פתח תקווה",דיסקונט,בנקים 🔵
076-8051270,"גבעת טל  2, ראש העין",דיסקונט,בנקים 🔵
076-8051240,"בי""ח שיבא  1, רמת גן",דיסקונט,בנקים 🔵
076-8051012,"קניון אסף סנטר  1, ראשון לציון",דיסקונט,בנקים 🔵
076-8051002,"הרצל  1, אשדוד",דיסקונט,בנקים 🔵
076-8050933,"נעמי שמר  7, בת ים",דיסקונט,בנקים 🔵
076-8050910,"דניאל  33, בת ים",דיסקונט,בנקים 🔵
076-8050884,"הבילויים  16, גדרה",דיסקונט,בנקים 🔵
076-8050810,"הנחושת  4, חולון",דיסקונט,בנקים 🔵
076-8050754,"הירמוך  1, יבנה",דיסקונט,בנקים 🔵
076-8050733,"דוד המלך  2, לוד",דיסקונט,בנקים 🔵
076-8050720,"לב העיר  2, מודיעין-מכבים-רעות",דיסקונט,בנקים 🔵
076-8050690,"מורשת ישראל  15, ראשון לציון",דיסקונט,בנקים 🔵
076-8050628,"ויצמן  31, נס ציונה",דיסקונט,בנקים 🔵
076-8050575,"פנחס אילון  13, חולון",דיסקונט,בנקים 🔵
076-8050550,"רש""י  1, קריית מלאכי",דיסקונט,בנקים 🔵
076-8050480,"חיים משה שפירא  1, אשדוד",דיסקונט,בנקים 🔵
076-8050470,"הרצל  190, רחובות",דיסקונט,בנקים 🔵
076-8050410,"שדרות הרצל  55, רמלה",דיסקונט,בנקים 🔵
076-8042690,"הרצל  60, נתניה",מזרחי,בנקים 🔵
076-8042670,"החשמונאים  123, תל אביב -יפו",מזרחי,בנקים 🔵
076-8042570,"הרצל  163, רחובות",מזרחי,בנקים 🔵
076-8042470,"ויצמן  132, כפר סבא",מזרחי,בנקים 🔵
076-8042180,"טרמינל 3  1, נמל תעופה בן-גוריון",מזרחי,בנקים 🔵
076-8042170,"אבא הילל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8042150,"האורגים  11, אשדוד",מזרחי,בנקים 🔵
076-8041941,"שמאי  10, ירושלים",מזרחי,בנקים 🔵
076-8041930,"דרך ארץ  33, חריש",מזרחי,בנקים 🔵
076-8041920,"אריאל שרון  6, אור יהודה",מזרחי,בנקים 🔵
076-8041910,"אגריפס  88, ירושלים",מזרחי,בנקים 🔵
076-8041900,"הנדיב  13, זכרון יעקב",מזרחי,בנקים 🔵
076-8041850,"Hagalil  217, סח'נין",מזרחי,בנקים 🔵
076-8041820,"התמר  2, יקנעם עילית",מזרחי,בנקים 🔵
076-8041810,"סולטאן באשא אלאטרש  1, שפרעם",מזרחי,בנקים 🔵
076-8041770,"אבא הילל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8041760,"אבא הלל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8041740,"אבא הלל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8041730,"אבא הלל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8041720,"אבא הלל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8041710,"אבא הלל סילבר  13, לוד",מזרחי,בנקים 🔵
076-8041700,"אהרונוביץ  12, בני ברק",מזרחי,בנקים 🔵
076-8041690,"פארן ,  5, ירושלים",מזרחי,בנקים 🔵
076-8041670,"יגאל אלון  6, בית שמש",מזרחי,בנקים 🔵
076-8041660,"דרך מצדה  6, באר שבע",מזרחי,בנקים 🔵
076-8041650,"שד' ירושלים  12, אשדוד",מזרחי,בנקים 🔵
076-8041630,"גולדה מאיר  255, ירושלים",מזרחי,בנקים 🔵
076-8041620,"רח' העליה ב'  4, צפת",מזרחי,בנקים 🔵
076-8041600,"מרכז מסחרי שו""פ  1, נוף הגליל",מזרחי,בנקים 🔵
076-8041590,"הגליל  22, נצרת",מזרחי,בנקים 🔵
076-8041580,"שלמה שרירא  3, מעלות-תרשיחא",מזרחי,בנקים 🔵
076-8041570,"יגאל אלון  94, תל אביב -יפו",מזרחי,בנקים 🔵
076-8041550,"סוקולוב  48, חולון",מזרחי,בנקים 🔵
076-8041540,"יוחנן הסנדלר  2, בת ים",מזרחי,בנקים 🔵
076-8041520,"שד' שאול עמור  77, מגדל העמק",מזרחי,בנקים 🔵
