qt_1ipv7riftd,qt_fl5xf47dtd,qt_mjj7cc8dtd,Lego_Geocoding_LatLong
"תל אביב -יפו, דיזנגוף  45, תל אביב -יפו, ישראל",כספומטים,מזרחי לב דיזנגוף,"32.075107,34.775298"
"תל אביב -יפו, דיזנגוף  205, תל אביב -יפו, ישראל",כספומטים,הפועלים הצפון,"32.08799,34.774985"
"תל אביב -יפו, דיזנגוף  205, תל אביב -יפו, ישראל",בנקים,הפועלים הצפון,"32.08799,34.774985"
"תל אביב -יפו, דוידקה 18, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב ד' - דוידקה,"32.055133,34.793044"
"תל אביב -יפו, גרינבוים 41 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל תל כביר נווה עופר,"32.040968,34.76574"
"תל אביב -יפו, ברודצקי  43, תל אביב -יפו, ישראל",בנקים,לאומי רמת אביב למד,"32.112306,34.794593"
"תל אביב -יפו, ברודצקי  43, תל אביב -יפו, ישראל",בנקים,לאומי רמת אביב אינשטיין,"32.112306,34.794593"
"תל אביב -יפו, ברודצקי  43, תל אביב -יפו, ישראל",בנקים,לאומי עסקים תל אביב צפון,"32.112306,34.794593"
"תל אביב -יפו, ברודצקי  43, תל אביב -יפו, ישראל",כספומטים,הפועלים אביבים,"32.112306,34.794593"
"תל אביב -יפו, ברודצקי  43, תל אביב -יפו, ישראל",כספומטים,לאומי רמת אביב אינשטיין,"32.112306,34.794593"
"תל אביב -יפו, בן יהודה  29, תל אביב -יפו, ישראל",בנקים,דיסקונט מאפו,"32.076685,34.768045"
"תל אביב -יפו, בן יהודה  25, תל אביב -יפו, ישראל",כספומטים,"מזרחי מרכז בנקאות פרטית בינלאומית  ת""א","32.076388,34.768032"
"תל אביב -יפו, בן יהודה  25, תל אביב -יפו, ישראל",בנקים,"מזרחי מרכז בנקאות פרטית בינלאומית  ת""א","32.076388,34.768032"
"תל אביב -יפו, בלפור 14, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב ב' - בלפור,"32.067446,34.773978"
"תל אביב -יפו, בית צורי  15, תל אביב -יפו, ישראל",כספומטים,הבינלאומי רמת אביב,"32.123292,34.800384"
"תל אביב -יפו, בית צורי  15, תל אביב -יפו, ישראל",בנקים,הבינלאומי רמת אביב,"32.123292,34.800384"
"תל אביב -יפו, בית אל  12, תל אביב -יפו, ישראל",כספומטים,ירושלים תל אביב,"32.117588,34.840226"
"תל אביב -יפו, בורלא יהודה 27, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב דנה שלי למד,"32.108562,34.790362"
"תל אביב -יפו, בוגרשוב 14, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב ה' - בוגרשוב,"32.077316,34.768908"
"תל אביב -יפו, ארלוזורוב 93 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל הועד הפועל,"32.085393,34.783918"
"תל אביב -יפו, אצ""ל 16 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל שכונת התקוה,"32.049608,34.758832"
"תל אביב -יפו, אלנבי  105, תל אביב -יפו, ישראל",בנקים,"מזרחי מרכז עסקים ראשי ת""א","32.064046,34.772889"
"תל אביב -יפו, אלנבי  105, תל אביב -יפו, ישראל",בנקים,מזרחי אלנבי,"32.064046,34.772889"
"תל אביב -יפו, אלנבי  105, תל אביב -יפו, ישראל",כספומטים,"מזרחי מרכז עסקים ראשי ת""א","32.064046,34.772889"
"תל אביב -יפו, אליפלט  26, תל אביב -יפו, ישראל",כספומטים,לאומי עסקים פלורנטין,"32.057642,34.764301"
"תל אביב -יפו, אליפלט  26, תל אביב -יפו, ישראל",בנקים,לאומי עסקים פלורנטין,"32.057642,34.764301"
"תל אביב -יפו, אינשטיין  7, תל אביב -יפו, ישראל",כספומטים,הבינלאומי אביבים,"32.112416,34.787087"
"תל אביב -יפו, אינשטיין  7, תל אביב -יפו, ישראל",בנקים,הבינלאומי אביבים,"32.112416,34.787087"
"תל אביב -יפו, איינשטיין  40, תל אביב -יפו, ישראל",כספומטים,מזרחי מסלקה,"32.112256,34.795913"
"תל אביב -יפו, אחימאיר אבא 26, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב רמת אביב,"32.123818,34.803636"
"תל אביב -יפו, אחימאיר  33, תל אביב -יפו, ישראל",כספומטים,הפועלים רמת אביב ג',"32.124841,34.804228"
"תל אביב -יפו, אחימאיר  33, תל אביב -יפו, ישראל",בנקים,הפועלים פועלים INVEST תל אביב,"32.124841,34.804228"
"תל אביב -יפו, אחימאיר  33, תל אביב -יפו, ישראל",בנקים,הפועלים רמת אביב ג',"32.124841,34.804228"
"תל אביב -יפו, אחימאיר  21, תל אביב -יפו, ישראל",בנקים,"לאומי מרכז שירות ת""א צפון","32.125377,34.80234"
"תל אביב -יפו, אחימאיר  21, תל אביב -יפו, ישראל",כספומטים,"לאומי מרכז שירות ת""א צפון","32.125377,34.80234"
"תל אביב -יפו, אחד העם 9 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל מגדל שלום,"32.064123,34.769511"
"תל אביב -יפו, אחד העם  21, תל אביב -יפו, ישראל",כספומטים,ירושלים תל אביב,"32.0641,34.771934"
"תל אביב -יפו, אחד העם  21, תל אביב -יפו, ישראל",בנקים,ירושלים תל אביב,"32.0641,34.771934"
"תל אביב -יפו, אהרון בקר  8, תל אביב -יפו, ישראל",כספומטים,מזרחי מיקדו,"32.122799,34.816295"
"תל אביב -יפו, אהרון בקר  8, תל אביב -יפו, ישראל",בנקים,מזרחי מיקדו,"32.122799,34.816295"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",כספומטים,הפועלים ככר יצחק רבין,"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",כספומטים,מזרחי גן העיר,"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",בנקים,מזרחי גן העיר,"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",בנקים,הפועלים ככר יצחק רבין,"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",בנקים,לאומי ביאליק (תושבי חוץ),"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",בנקים,לאומי כיכר רבין,"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  71, תל אביב -יפו, ישראל",כספומטים,לאומי כיכר רבין,"32.082287,34.780151"
"תל אביב -יפו, אבן גבירול  66, תל אביב -יפו, ישראל",כספומטים,דיסקונט ככר יצחק רבין,"32.079989,34.781631"
"תל אביב -יפו, אבן גבירול  30, תל אביב -יפו, ישראל",כספומטים,ירושלים תל אביב,"32.075071,34.781892"
"שריד, ד.נ גלבוע, שריד, ישראל",טיפות חלב,טיפות חלב שריד,"32.663059,35.224755"
"שריגים (לי-און), שריגים 1, שריגים (לי-און), ישראל",טיפות חלב,טיפות חלב שריגים,"31.678567,34.93509"
"שקף, מושב שקף, שקף, ישראל",טיפות חלב,טיפות חלב שקף,"31.51489,34.937318"
"שפרעם, תופיק זיאד  370, שפרעם, ישראל",בנקים,לאומי שפרעם,"32.803411,35.174224"
"שפרעם, תופיק זיאד  370, שפרעם, ישראל",כספומטים,לאומי שפרעם,"32.803411,35.174224"
"שפרעם, שפרעם, שפרעם, ישראל",טיפות חלב,טיפות חלב שפרעם א,"32.803581,35.1733"
"שפרעם, שפרעם, שפרעם, ישראל",טיפות חלב,טיפות חלב שפרעם ד,"32.803581,35.1733"
"שפרעם, שפרעם, מרכז מסחר-ע עתיקה 1, ישראל",מרכולים,קינג סטור שפרעם,"32.803581,35.1733"
"שפרעם, שפרעם, מכבי - כמאל ג'ונבלאט , ישראל",מרפאות,מכבי מר.רפואי שפרעם-מנהלת,"32.810198,35.165822"
"שפרעם, שפרעם, הדקל 1, ישראל",מרכולים,קינג סטור קינג סטור שפרעם,"32.704978,35.172195"
"שפרעם, שפרעם, דאוד סולימאן תלחמי 18, ישראל",מרפאות,כללית שפרעם,"32.801348,35.173214"
"שפרעם, שפרעם,  0, ישראל",מרפאות,מאוחדת שפרעם-שכונת ואדי אל סקייה,"32.803581,35.1733"
"שפרעם, שכונת פואר שפרעם, שפרעם, ישראל",טיפות חלב,טיפות חלב שפרעם ב,"32.803581,35.1733"
"שפרעם, שייח' אמין טריף 32 שפרעם, ישראל",סניפי דואר,דואר ישראל היחידה המרכזית שפרעם,"32.960948,35.371885"
"שפרעם, רחוב ראשי שכונת אלעין  0, שפרעם, ישראל",כספומטים,מסד שפרעם,"32.811402,35.163015"
"שפרעם, רחוב ראשי שכונת אלעין  0, שפרעם, ישראל",בנקים,מסד שפרעם,"32.811402,35.163015"
"שפרעם, סולטאן באשא אלאטרש  1, שפרעם, ישראל",כספומטים,מזרחי שפרעם,"32.817029,35.163614"
"שפרעם, סולטאן באשא אלאטרש  1, שפרעם, ישראל",בנקים,מזרחי שפרעם,"32.817029,35.163614"
"שפרעם, כמאל גונבלאט  0, שפרעם, ישראל",כספומטים,לאומי עסקים שפרעם,"32.810404,35.165518"
"שפרעם, כמאל גונבלאט  0, שפרעם, ישראל",בנקים,לאומי עסקים שפרעם,"32.810404,35.165518"
"שפרעם, ג'ונבלאט שכונת אלעיין  0, שפרעם, ישראל",בנקים,הפועלים שפרעם,"32.728525,35.213684"
"שפרעם, ג'ונבלאט שכונת אלעיין  0, שפרעם, ישראל",כספומטים,הפועלים שפרעם,"32.728525,35.213684"
"שפרעם, ארחי בישוף חג'אר  0, שפרעם, ישראל",בנקים,מרכנתיל שפרעם,"32.818021,34.982302"
"שפרעם, ארחי בישוף חג'אר  0, שפרעם, ישראל",כספומטים,מרכנתיל שפרעם,"32.818021,34.982302"
"שפיים, קיבוץ שפיים, שפיים, ישראל",טיפות חלב,טיפות חלב שפיים,"32.216586,34.822409"
"שפיים,  שפיים, ישראל",סניפי דואר,דואר ישראל שפיים,"32.216586,34.822409"
"שער שומרון, ענבר  1, שער שומרון, ישראל",כספומטים,מזרחי מסלקה,"32.106712,34.898343"
"שער שומרון, יהלום 47, שער שומרון, ישראל",טיפות חלב,טיפות חלב שערי תקווה,"31.046051,34.851612"
"שער העמקים, דואר שער העמקים, שער העמקים, ישראל",טיפות חלב,טיפות חלב שער העמקים,"32.722621,35.110601"
"שעלבים, שעלבים, שעלבים, ישראל",טיפות חלב,טיפות חלב שעלבים+ נוף אילון,"31.870235,34.984304"
"שעב, שעב, שעב, ישראל",טיפות חלב,טיפות חלב שעב,"32.890853,35.240492"
"שעב, שעב,  0, ישראל",מרפאות,כללית כפר שעב,"32.890853,35.240492"
"שעב, שעב ליד כרמיאל  0, שעב, ישראל",כספומטים,ירושלים כרמיאל,"32.890853,35.240492"
"שעב, שעב כביש ראשי  1, שעב, ישראל",כספומטים,ירושלים כרמיאל,"32.890853,35.240492"
"שעב, בלקיס שעב, ישראל",סניפי דואר,דואר ישראל שעב,"32.891014,35.238158"
"שניר, שניר, שניר, ישראל",טיפות חלב,טיפות חלב שניר,"33.240338,35.677015"
"שמשית, שמשית, פלג 0, ישראל",מרפאות,כללית שמשית,"32.733259,35.248883"
"שמשית, ד.נ רמת הגולן, שמשית, ישראל",טיפות חלב,טיפות חלב שמשית,"33.015585,35.784354"
"שמיר, קיבוץ שמיר  1, שמיר, ישראל",כספומטים,מזרחי מסלקה,"33.166754,35.659949"
"שלומי, שלומי, הרב עוזיאל 28, ישראל",מרפאות,כללית שלומי,"33.073084,35.142651"
"שלומי, שלומי, דרך אזולאי סנדי 1, ישראל",מרכולים,מחסני השוק סניף שלומי,"33.074545,35.145762"
"שלומי, מרכז תחנת דלק  1, שלומי, ישראל",כספומטים,מזרחי שלומי,"33.072609,35.145945"
"שלומי, מרכז תחנת דלק  1, שלומי, ישראל",בנקים,מזרחי שלומי,"33.072609,35.145945"
"שלומי,  שלומי, ישראל",סניפי דואר,דואר ישראל שלומי,"33.072609,35.145945"
"שלוחות, שלוחות, שלוחות, ישראל",טיפות חלב,טיפות חלב שלוחות,"32.472608,35.480488"
"שילת, שילת, פארק תעשיות ומסחר 1, ישראל",מרכולים,רמי לוי שילת,"31.921173,35.014572"
"שילה, ד.נ אפרים, שילה, ישראל",טיפות חלב,טיפות חלב שילה כללית,"31.046051,34.851612"
"שייח' דנון, שייח' דנון, שייח' דנון, ישראל",טיפות חלב,טיפות חלב דנון,"32.993829,35.148568"
